project_id,author,code_smells,lines_edited,commits,sonar_smells
org.apache:archiva,Wendy Smoak,383,7608,70,636
org.apache:archiva,Olivier Lamy,946,638910,4147,14971
org.apache:archiva,Maria Odea B. Ching,481,98886,565,5697
org.apache:archiva,Marecor M. Baclay,23,8622,17,125
org.apache:archiva,Joakim Erdfelt,2096,261216,414,21559
org.apache:archiva,Jevica Arianne B. Zurbano,10,2231,27,60
org.apache:archiva,Jesse McConnell,341,14978,106,2429
org.apache:archiva,Jason van Zyl,70,10160,130,195
org.apache:archiva,James William Dumay,85,396374,110,5614
org.apache:archiva,Emmanuel Venisse,152,2499,110,515
org.apache:archiva,Edwin L. Punzalan,234,39866,175,1605
org.apache:archiva,Carlos Sanchez Gonzalez,1,2046,110,9
org.apache:archiva,Brett Porter,2319,381007,1444,19259
org.apache:batik,Vincent Hardy,527,1100517,1858,6042
org.apache:batik,Thomas E. DeWeese,233,467960,1164,4456
org.apache:batik,Thierry Kormann,205,289934,1060,2639
org.apache:batik,Stephane Hillion,1272,644057,822,12729
org.apache:batik,Dean Jackson,47,23204,22,397
org.apache:batik,Christophe Jolif,46,49972,282,423
org.apache:batik,billh,24,30860,142,589
org.apache:batik,Bella Robinson,8,21772,74,331
org.apache:bcel,Torsten Curdt,92,72105,81,854
org.apache:bcel,Sebastian Bazley,14,56402,413,1184
org.apache:bcel,Markus Dahm,3,11415,138,223
org.apache:bcel,Mark Thomas,1,1449,12,29
org.apache:bcel,Mark Emlyn David Thomas,33,26104,14,701
org.apache:bcel,Jason van Zyl,210,90801,23,3495
org.apache:bcel,Gary D. Gregory,3,23566,222,371
org.apache:bcel,Emmanuel Bourg,7,9749,94,122
org.apache:bcel,David Dixon-Peugh,2,504,3,25
org.apache:bcel,David Brosius,29,10295,189,266
org.apache:bcel,Conor MacNeill,103,21893,3,105
org.apache:bcel,Chas Honton,60,125735,23,631
org.apache:bcel,Benedikt Ritter,5,12020,71,444
org.apache:beanutils,Vadim Gritsenko,8,300,2,10
org.apache:beanutils,Stian Soiland-Reyes,5,2749,63,84
org.apache:beanutils,Simon Kitching,7,2339,34,84
org.apache:beanutils,Rodney Waldhoff,9,1954,6,70
org.apache:beanutils,Robert Burrell Donkin,147,42355,127,1168
org.apache:beanutils,Oliver Heger,4,7980,177,72
org.apache:beanutils,Niall Pemberton,86,43908,294,1077
org.apache:beanutils,James Strachan,4,525,7,10
org.apache:beanutils,Henri Yandell,2,5449,56,50
org.apache:beanutils,Geir Magnusson Jr,2,371,5,26
org.apache:beanutils,Gary D. Gregory,28,26316,95,399
org.apache:beanutils,Craig R. McClanahan,146,35491,138,2366
org.apache:cayenne,Tore Halset,20,9729,76,181
org.apache:cayenne,Michael Ray Gentry,2,2602,74,36
org.apache:cayenne,"Kevin Joseph Menard, Jr",14,17004,158,116
org.apache:cayenne,Andrus Adamchik,5391,951734,3353,19809
org.apache:cocoon,Vadim Gritsenko,139,477222,2522,1147
org.apache:cocoon,Upayavira,46,150044,228,354
org.apache:cocoon,Unico Hommes,33,76518,718,608
org.apache:cocoon,Ugo Cei,20,41019,182,118
org.apache:cocoon,Torsten Curdt,8,91728,124,156
org.apache:cocoon,Timothy D. Larson,10,42510,198,335
org.apache:cocoon,Sylvain Wallez,119,131611,588,907
org.apache:cocoon,Stephan Michels,85,144604,478,931
org.apache:cocoon,Stefano Mazzocchi,27,32083,195,122
org.apache:cocoon,Simone Gianni,17,15612,76,376
org.apache:cocoon,Reinhard Pötz,763,1313215,2010,17614
org.apache:cocoon,Ralph Goers,5,128273,78,89
org.apache:cocoon,Pier Fumagalli,2103,1048746,72,13440
org.apache:cocoon,Par Daniel Fagerstrohm,272,358401,868,2379
org.apache:cocoon,Nicola Ken Barozzi,6,8802,54,26
org.apache:cocoon,Marc Portier,10,8531,108,130
org.apache:cocoon,Leszek Gawron,112,70338,436,601
org.apache:cocoon,Lars Trieloff,2,5040,40,18
org.apache:cocoon,Jorg Heymans,138,618514,480,5884
org.apache:cocoon,Joerg Heinicke,27,107528,785,453
org.apache:cocoon,Jeremy Quinn,19,27826,102,404
org.apache:cocoon,Jeff Turner,20,8734,150,86
org.apache:cocoon,Jean-Baptiste Quenot,129,86320,106,1733
org.apache:cocoon,Guido Casper,15,21816,102,171
org.apache:cocoon,Gregor Rothfuss,3,9624,2,92
org.apache:cocoon,Gianugo Rabellino,25,12602,80,198
org.apache:cocoon,Giacomo Pati,74,87535,504,789
org.apache:cocoon,Geoffrey Alexander Howard,14,19946,130,147
org.apache:cocoon,David Crossley,3,412060,916,40
org.apache:cocoon,Christopher Oliver,61,160324,538,1774
org.apache:cocoon,Christian Haul,67,33180,170,341
org.apache:cocoon,Carsten Ziegeler,1920,2784642,5456,20316
org.apache:cocoon,Bruno Dumon,151,49451,463,1216
org.apache:cocoon,Bertrand Delacretaz,38,358114,364,574
org.apache:cocoon,Bernhard Huber,16,15342,42,185
org.apache:cocoon,Antonio Gallardo Rivera,15,188525,1196,453
org.apache:cocoon,Anthony Collen,1,6518,100,22
org.apache:codec,Timothy O'Brien,31,16765,89,247
org.apache:codec,Thomas Neidhart,1,4569,62,37
org.apache:codec,Stefan Bodewig,6,298,1,8
org.apache:codec,Sebastian Bazley,16,21025,292,287
org.apache:codec,Julius Davies,2,2743,12,56
org.apache:codec,Jochen Wiedmann,12,1535,2,61
org.apache:codec,Henri Yandell,4,3288,64,87
org.apache:codec,Gary D. Gregory,64,99221,1112,1321
org.apache:collections,Thomas Neidhart,136,299198,663,1183
org.apache:collections,Stephen Colebourne,400,292526,917,3774
org.apache:collections,Rodney Waldhoff,214,71544,150,2294
org.apache:collections,pjack,46,16615,39,347
org.apache:collections,Phil Steitz,37,8920,43,391
org.apache:collections,Morgan James Delagrange,35,10052,133,295
org.apache:collections,Michael Smith,38,19604,72,416
org.apache:collections,Matthew Jason Benson,1,2529,21,38
org.apache:collections,Matthew Hawthorne,19,1168,6,43
org.apache:collections,Luc Maisonobe,10,8901,4,44
org.apache:collections,Jason van Zyl,16,2314,9,102
org.apache:collections,James W. Carman,8,2796,10,68
org.apache:collections,James Strachan,59,9974,23,246
org.apache:collections,Henri Yandell,17,85975,306,352
org.apache:collections,Geir Magnusson Jr,11,2322,19,66
org.apache:collections,Gary D. Gregory,1,17267,103,69
org.apache:collections,Dipanjan Laha,2,561,2,13
org.apache:collections,Craig R. McClanahan,18,7381,10,420
org.apache:collections,Brent Worden,7,4430,18,65
org.apache:collections,Arron Claude Bates,2,1039,2,19
org.apache:commons-cli,Sebastian Bazley,33,370,29,290
org.apache:commons-cli,Robert James Oxspring,1040,26304,69,4547
org.apache:commons-cli,Oliver Heger,41,1227,10,497
org.apache:commons-cli,No Author,33,,1,1418
org.apache:commons-cli,Niall Kegan Pemberton,150,4999,38,1240
org.apache:commons-cli,John Keyes,353,22765,111,5458
org.apache:commons-cli,Henri Yandell,1391,83088,216,14583
org.apache:commons-cli,Emmanuel Bourg,436,13691,145,5413
org.apache:commons-cli,Benedikt Ritter,1,2846,86,87
org.apache:commons-exec,Siegfried Goeschl,5,13408,300,275
org.apache:commons-exec,Niklas Gustavsson,19,5023,10,136
org.apache:commons-exec,Brett Porter,39,6291,18,179
org.apache:commons-exec,Benedikt Ritter,4,2236,24,69
org.apache:commons-fileupload,Stephen Colebourne,2,1675,3,2
org.apache:commons-fileupload,Simone Tripodi,7,9610,258,55
org.apache:commons-fileupload,Sean Sullivan,9,3170,32,135
org.apache:commons-fileupload,Martin Cooper,25,17001,135,236
org.apache:commons-fileupload,Jochen Wiedmann,8,13033,125,150
org.apache:commons-io,Stephen Colebourne,29,26850,237,636
org.apache:commons-io,Sebastian Bazley,10,17702,353,211
org.apache:commons-io,Scott Sanders,8,1670,8,40
org.apache:commons-io,Olivier Lamy,2,1622,17,36
org.apache:commons-io,Nicola Ken Barozzi,67,15296,15,649
org.apache:commons-io,Niall Pemberton,58,36587,342,791
org.apache:commons-io,Martin Cooper,9,3624,17,110
org.apache:commons-io,Kristian Rosenvold,1,13155,80,314
org.apache:commons-io,Jukka Zitting,2,1715,14,21
org.apache:commons-io,Jochen Wiedmann,3,1875,7,23
org.apache:commons-io,Jeremias Maerki,17,12323,86,215
org.apache:commons-io,Henri Yandell,77,43955,245,460
org.apache:commons-io,Gary D. Gregory,2,24951,385,280
org.apache:commons-jelly,Stephane Mor,1,308,3,12
